description,id,brand,category,withdrawn_from_range,merged,n_tokens
"Пенал подвесной, 40 см, Brick, белый, IDDIS, BRI40W0i97",846b0015-5d0a-a001-11eb-2335e5e11162,IDDIS,Мебель для ванной,True,"Пенал подвесной, 40 см, Brick, белый, IDDIS, BRI40W0i97 | Brand: IDDIS | Category: Мебель для ванной",44
"Умывальник мебельный, 60 см, 010, IDDIS, 0106000i28",846b0015-5d0a-a001-11eb-23379f3008bc,IDDIS,Мебель для ванной,True,"Умывальник мебельный, 60 см, 010, IDDIS, 0106000i28 | Brand: IDDIS | Category: Мебель для ванной",42
"Тумба подвесная, белая, 100 см, Brick, IDDIS, BRI10W1i95. Подходит умывальник: 0101000i28",846b0015-5d0a-a001-11eb-23387a9ced08,IDDIS,Мебель для ванной,True,"Тумба подвесная, белая, 100 см, Brick, IDDIS, BRI10W1i95. Подходит умывальник: 0101000i28 | Brand: IDDIS | Category: Мебель для ванной",62
"Умывальник мебельный, 100 см, 010, IDDIS, 0101000i28",846b0015-5d0a-a001-11eb-2338a3bc8649,IDDIS,Мебель для ванной,True,"Умывальник мебельный, 100 см, 010, IDDIS, 0101000i28 | Brand: IDDIS | Category: Мебель для ванной",42
"Зеркало 60 см, Cloud, IDDIS, CLO6000i98",846b0015-5d0a-a001-11eb-233b87e3b1c5,IDDIS,Мебель для ванной,True,"Зеркало 60 см, Cloud, IDDIS, CLO6000i98 | Brand: IDDIS | Category: Мебель для ванной",35
"Зеркало 100 см, Cloud, IDDIS, CLO1000i98",846b0015-5d0a-a001-11eb-233c1c361ec6,IDDIS,Мебель для ванной,True,"Зеркало 100 см, Cloud, IDDIS, CLO1000i98 | Brand: IDDIS | Category: Мебель для ванной",35
"Тумба подвесная, белый, 80 см, Edifice, IDDIS, EDI80W0i95. Подходит умывальник 0108000i28",846b0015-5d0a-a001-11eb-27db4b80e193,IDDIS,Мебель для ванной,True,"Тумба подвесная, белый, 80 см, Edifice, IDDIS, EDI80W0i95. Подходит умывальник 0108000i28 | Brand: IDDIS | Category: Мебель для ванной",62
"Умывальник мебельный, 60 см, 001, IDDIS/Milardo, 0016000U28 (тумба приобретается отдельно)",846b0015-5d0a-a001-11eb-2fb84319c024,IDDIS,Мебель для ванной,True,"Умывальник мебельный, 60 см, 001, IDDIS/Milardo, 0016000U28 (тумба приобретается отдельно) | Brand: IDDIS | Category: Мебель для ванной",60
"Смеситель для раковины ПРОФСАН ЭЛИТ тип См-УмОЦБА PSM-100-5 (с подводкой, картридж 35 мм)",846b0015-5d0a-a001-11eb-307a06d72459,ПРОФСАН,Смесители,True,"Смеситель для раковины ПРОФСАН ЭЛИТ тип См-УмОЦБА PSM-100-5 (с подводкой, картридж 35 мм) | Brand: ПРОФСАН | Category: Смесители",71
"Смеситель для раковины ПРОФСАН ЭЛИТ высокий тип См-УмОЦБА PSM-100-6 (с подводкой, картридж 35 мм)",846b0015-5d0a-a001-11eb-307a37c83022,ПРОФСАН,Смесители,True,"Смеситель для раковины ПРОФСАН ЭЛИТ высокий тип См-УмОЦБА PSM-100-6 (с подводкой, картридж 35 мм) | Brand: ПРОФСАН | Category: Смесители",75
Смеситель для ванны с душем ПРОФСАН ПСМ-192-38 КВАДРО тип См-ВУОРНШлА PSM-192-38 (евро эксцентрик),846b0015-5d0a-a001-11eb-307a9097cc17,ПРОФСАН,Смесители,True,Смеситель для ванны с душем ПРОФСАН ПСМ-192-38 КВАДРО тип См-ВУОРНШлА PSM-192-38 (евро эксцентрик) | Brand: ПРОФСАН | Category: Смесители,80
Смеситель для ванны с душем ПРОФСАН ПСМ-158-75 ЕВРО тип См-ВУДРНШлА PSM-158-75 (евро эксцентрик),846b0015-5d0a-a001-11eb-307ac397acef,ПРОФСАН,Смесители,True,Смеситель для ванны с душем ПРОФСАН ПСМ-158-75 ЕВРО тип См-ВУДРНШлА PSM-158-75 (евро эксцентрик) | Brand: ПРОФСАН | Category: Смесители,78
