id,description,brand,withdrawn_from_range,category,unique_key,updated_at
846b0015-5d0a-a001-11eb-2fb84319c024,"Умывальник мебельный, 60 см, 001, IDDIS/Milardo, 0016000U28 (тумба приобретается отдельно)",IDDIS,True,Мебель для ванной,7484103177601150013,2025-03-28 03:00:15.594682+00:00
86060015-5d0a-a001-11eb-983ad5526123,"IZEO 60 комплект мебели подвесной c дверцами (тумба + раковина Енисей), дуб сонома IZ-T60DS2",Garda,True,Мебель для ванной,6755780118442060241,2025-03-28 03:00:15.594682+00:00
8aef0015-5d3c-8c01-11ec-a5e52f99121d,"NEMI 60 Зеркало шкаф  цвет Серый, Белый NM-ZH60GR/W",Garda,True,Мебель для ванной,8498253676461017758,2025-03-28 03:00:15.594682+00:00
8aef0015-5d3c-8c01-11ec-a121273b78f5,"Тумба IZEO 60 подвесная с дверцами (БЕЗ СБОРКИ), цвет белый",Garda,True,Комплектующие для мебели,2291406020257332263,2025-03-28 03:00:15.594682+00:00
8aef0015-5d3c-8c01-11ec-a1223423f9b5,"Тумба IZEO 60 подвесная с дверцами, цвет Дуб Крафт золотой IZ-T60K/PW2 (тумба)",Garda,True,Комплектующие для мебели,5106479100192873011,2025-03-28 03:00:15.594682+00:00
8aef0015-5d3c-8c01-11ec-ed6d80c7262d,"Тумба DELLA 60 подвесная, цвет Дуб крафт золотой DL-T60K/PW",Garda,True,Комплектующие для мебели,-854655412576181111,2025-03-28 03:00:15.594682+00:00
8aef0015-5d3c-8c01-11ec-fc4c305f6594,"Фасады к тумбе BELLAGIO 75 (согл.эскиза), Белый глянец DM101-6T",,True,Комплектующие для мебели,4020352597158004723,2025-03-28 03:00:15.594682+00:00
8aef0015-5d3c-8c01-11ed-02647fc463ae,"Тумба IZEO 60 подвесная с дверцами, цвет дуб сонома БЕЗ СБОРКИ",Garda,True,Комплектующие для мебели,1821878906927229645,2025-03-28 03:00:15.594682+00:00
8d600015-5d0a-a001-11e7-f9ade16bfb1a,"""Атлантисс"" LM3228C Смеситель для ванны и душа встраиваемый с 3х-функциональным дивертором, без аксе",Lemark,True,Смесители,-6134335460717516856,2025-03-28 03:00:15.594682+00:00
8ee80015-5d0a-a001-11e9-497ed5d79309,"""Запчасти для смесителей"" LM8937CE Блок управляющий и отсек для питания для сенсорных смесителей LM4",Lemark,True,Запчасти для смесителей,-7681666296056777638,2025-03-28 03:00:15.594682+00:00
8f670015-5d3c-8c01-11eb-f0551862ea49,Клапан Универсальный (боковой ) Арматура наполнительная,РБМ,True,Унитазы,-5392187005997349631,2025-03-28 03:00:15.594682+00:00
