id,description,brand,withdrawn_from_range,category,merged,unique_key,updated_at
8ee80015-5d0a-a001-11e9-497ed5d79309,"""Запчасти для смесителей"" LM8937CE Блок управляющий и отсек для питания для сенсорных смесителей LM4",Lemark,True,Запчасти для смесителей,"""Запчасти для смесителей"" LM8937CE Блок управляющий и отсек для питания для сенсорных смесителей LM4 | Brand: Lemark | Category: Запчасти для смесителей",1.6329439190470408e+18,2025-03-28 10:10:51.104148+00:00
8f670015-5d3c-8c01-11eb-f0551862ea49,Клапан Универсальный (боковой ) Арматура наполнительная,РБМ,True,Унитазы,Клапан Универсальный (боковой ) Арматура наполнительная | Brand: РБМ | Category: Унитазы,6.943460439815328e+18,2025-03-28 10:10:51.104148+00:00
846b0015-5d0a-a001-11eb-299108c4c6c9,"HB1021-5 Смеситель однорычажный для раковины, сатин",Haiba,True,Смесители,"HB1021-5 Смеситель однорычажный для раковины, сатин | Brand: Haiba | Category: Смесители",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-1359fa005c58,"""Эксперт"" LM5082S-Violet Смеситель для кухни, с гибким  изливом и 2х-функциональным аэратором, сталь",Lemark,True,Смесители,"""Эксперт"" LM5082S-Violet Смеситель для кухни, с гибким  изливом и 2х-функциональным аэратором, сталь | Brand: Lemark | Category: Смесители",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-1cdd4f760ee5,"""Эксперт"" LM5061G Смеситель для кухни с подключением к фильтру питьевой воды, золото",Lemark,True,Смесители,"""Эксперт"" LM5061G Смеситель для кухни с подключением к фильтру питьевой воды, золото | Brand: Lemark | Category: Смесители",-6.804034586325064e+18,2025-03-28 10:10:51.104148+00:00
846b0015-5d0a-a001-11eb-1cc78f8b677b,"W40-39 Смеситель одноручный (40 мм) на борт ванны, на 3 отверстия, хром/бел",Rossinka,True,Смесители,"W40-39 Смеситель одноручный (40 мм) на борт ванны, на 3 отверстия, хром/бел | Brand: Rossinka | Category: Смесители",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-306c674aaa11,Душевая система ПРОФСАН ПСМ-301-8 STEEL нержавеющая сталь AISI-304 тип См-ВДшОРНТрА Черный-бронза PS,ПРОФСАН,True,Душ,Душевая система ПРОФСАН ПСМ-301-8 STEEL нержавеющая сталь AISI-304 тип См-ВДшОРНТрА Черный-бронза PS | Brand: ПРОФСАН | Category: Душ,,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-306a53d6f13a,Смеситель для кухни ПРОФСАН ПСМ-301-3 STEEL нержавеющая сталь AISI-304 тип См-МОЦБА Черный-бронза PS,ПРОФСАН,True,Смесители,Смеситель для кухни ПРОФСАН ПСМ-301-3 STEEL нержавеющая сталь AISI-304 тип См-МОЦБА Черный-бронза PS | Brand: ПРОФСАН | Category: Смесители,3.602542449895224e+18,2025-03-28 10:10:51.104148+00:00
846b0015-5d0a-a001-11eb-306b3bb633d0,Смеситель для раковины ПРОФСАН ПСМ-301-5 STEEL нержавеющая сталь AISI-304 тип См-УмОЦБА Черный-бронз,ПРОФСАН,True,Смесители,Смеситель для раковины ПРОФСАН ПСМ-301-5 STEEL нержавеющая сталь AISI-304 тип См-УмОЦБА Черный-бронз | Brand: ПРОФСАН | Category: Смесители,,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-30795e3b8be7,"Смеситель для ванны с душем ПРОФСАН ЭЛИТ тип См-ВОРНШлА PSM-100-1 (евро эксцентрик, картридж 35 мм)",ПРОФСАН,True,Смесители,"Смеситель для ванны с душем ПРОФСАН ЭЛИТ тип См-ВОРНШлА PSM-100-1 (евро эксцентрик, картридж 35 мм) | Brand: ПРОФСАН | Category: Смесители",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-30799dbfc071,"Смеситель для ванны с душем ПРОФСАН ЭЛИТ тип См-ВУОРНШлА PSM-100-2 (евро эксцентрик, картридж 35 мм)",ПРОФСАН,True,Смесители,"Смеситель для ванны с душем ПРОФСАН ЭЛИТ тип См-ВУОРНШлА PSM-100-2 (евро эксцентрик, картридж 35 мм) | Brand: ПРОФСАН | Category: Смесители",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-1359b5caff5f,"""Эксперт"" LM5082S-Green Смеситель для кухни, с гибким  изливом и 2х-функциональным аэратором, сталь/",Lemark,True,Смесители,"""Эксперт"" LM5082S-Green Смеситель для кухни, с гибким  изливом и 2х-функциональным аэратором, сталь/ | Brand: Lemark | Category: Смесители",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-1359d5e8f3fb,"""Эксперт"" LM5082S-Red Смеситель для кухни, с гибким  изливом и 2х-функциональным аэратором, сталь/кр",Lemark,True,Смесители,"""Эксперт"" LM5082S-Red Смеситель для кухни, с гибким  изливом и 2х-функциональным аэратором, сталь/кр | Brand: Lemark | Category: Смесители",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-295c92378894,"HB70176 Смеситель для кухни с гайкой, хром",Haiba,True,Смесители,"HB70176 Смеситель для кухни с гайкой, хром | Brand: Haiba | Category: Смесители",-2.816323159086067e+18,2025-03-28 10:10:51.104148+00:00
846b0015-5d0a-a001-11eb-2fb84319c024,"Умывальник мебельный, 60 см, 001, IDDIS/Milardo, 0016000U28 (тумба приобретается отдельно)",IDDIS,True,Мебель для ванной,"Умывальник мебельный, 60 см, 001, IDDIS/Milardo, 0016000U28 (тумба приобретается отдельно) | Brand: IDDIS | Category: Мебель для ванной",-6.292150172418264e+18,2025-03-28 10:10:51.104148+00:00
846b0015-5d0a-a001-11eb-307a06d72459,"Смеситель для раковины ПРОФСАН ЭЛИТ тип См-УмОЦБА PSM-100-5 (с подводкой, картридж 35 мм)",ПРОФСАН,True,Смесители,"Смеситель для раковины ПРОФСАН ЭЛИТ тип См-УмОЦБА PSM-100-5 (с подводкой, картридж 35 мм) | Brand: ПРОФСАН | Category: Смесители",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-307a37c83022,"Смеситель для раковины ПРОФСАН ЭЛИТ высокий тип См-УмОЦБА PSM-100-6 (с подводкой, картридж 35 мм)",ПРОФСАН,True,Смесители,"Смеситель для раковины ПРОФСАН ЭЛИТ высокий тип См-УмОЦБА PSM-100-6 (с подводкой, картридж 35 мм) | Brand: ПРОФСАН | Category: Смесители",,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-307a9097cc17,Смеситель для ванны с душем ПРОФСАН ПСМ-192-38 КВАДРО тип См-ВУОРНШлА PSM-192-38 (евро эксцентрик),ПРОФСАН,True,Смесители,Смеситель для ванны с душем ПРОФСАН ПСМ-192-38 КВАДРО тип См-ВУОРНШлА PSM-192-38 (евро эксцентрик) | Brand: ПРОФСАН | Category: Смесители,,2025-03-28 11:57:34.404110+00:00
846b0015-5d0a-a001-11eb-307ac397acef,Смеситель для ванны с душем ПРОФСАН ПСМ-158-75 ЕВРО тип См-ВУДРНШлА PSM-158-75 (евро эксцентрик),ПРОФСАН,True,Смесители,Смеситель для ванны с душем ПРОФСАН ПСМ-158-75 ЕВРО тип См-ВУДРНШлА PSM-158-75 (евро эксцентрик) | Brand: ПРОФСАН | Category: Смесители,,2025-03-28 11:57:34.404110+00:00
